,id,created_at,order_id,name,variation_name,quantity,base_price_money,total_money
132,d8LspGnUEW0dyN7sy9Q1dT49vaB,2024-07-13 13:10:02.002,UQ9ShlrhLhKZX4MMj5eAl7oeV,Stray Kids - NoEasy (Random Ver.),Regular,1,38.95,38.95
133,XH2UImv7sv0eOOV6zELrcMyZ8oSZY,2024-07-13 13:09:25.446,ESecNwNEKdawk1EzxULtv2zczxTZY,Stray Kids - NoEasy (Random Ver.),Regular,1,38.95,38.95
134,ZSdd06qVqU7hJWdGqWTk3wAruQOZY,2024-07-13 12:44:14.519,oWlXUGFkPfmgGJ6Pth3cP4PrL3aZY,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
135,7HrzQivHcqtOSQZqvlQI6aUHT7LZY,2024-07-12 17:04:12.117,EYtuM2ynrB40atVtSoPhqZtlLdbZY,Aespa - Armageddon (Poster Ver.),Regular,1,36.95,36.95
136,Dx0gNaZpd6UNiLTkuAt7iTFEvaB,2024-07-12 16:45:43.664,4ouJx1RUaXZAjiAnK2oIdKieV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
137,XVlGJL73TCcUTE5Sro5Eo5JeuaB,2024-07-12 15:43:51.576,4UEbcK5QoljsmGUcX4xYrmweV,,,1,5.0,5.0
138,7xecX5uP0WDnZHMrLustrGrovaB,2024-07-12 12:24:28.333,iJisPtJSWUWO5c8cfB7kSNseV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
139,Hdz1HH3fOnPdBXY10ynF9CHZuaB,2024-07-12 11:35:56.586,8GklNXAKVsdswT77gA0EPU8eV,BTS Butter (Random Ver.),BTS,1,37.95,37.95
140,n1Nyy6oDt1nVhjDhGlG7FZXGa5SZY,2024-07-11 14:21:28.411,gM2Zxr3RDum7SkxRIExaXK3YEdBZY,,,1,10.0,10.0
141,7t0gN8BbDBPUZzkPAYs5gWl0vaB,2024-07-11 12:49:07.016,gShZ90aKr1dwAjQ8vHSGQKveV,,,1,30.0,30.0
142,XhVXJO8nysLe4IpV16aX79ZLuaB,2024-07-10 12:23:01.571,qVIJ5v9ctnaHofjUwgiBCZneV,,,1,5.0,5.0
143,dQ9mc6LCzYE59YCFi5qEb5jBwaB,2024-07-10 11:46:59.808,mt15fud7cqFhjOyBUDV4lIveV,,,1,10.0,10.0
144,JCfwsMT3nTBhyrkvOmbOfUEXvaB,2024-07-10 11:34:14.391,k0bOlEi6VEPq6dyKVpuJhVieV,,,1,15.0,15.0
145,1AfAfp8JjMSmBDzTAKYZVja8uaB,2024-07-10 11:18:27.982,iLBfLmPFpZmAm1fG6Ipu2EpeV,,,1,5.0,5.0
146,V8j98SpoPEU467TpSHQ4Tg29taB,2024-07-10 11:11:05.506,a7Ba7KWXRNzkFbt5AV3OoU4eV,NCT Dream - Dream()Scape (Photobook Ver.),Dream Scape,1,38.95,38.95
147,9OgAMD4vFygucPWap0KarPn5HKHZY,2024-07-09 17:18:10.372,QkyDQzoWwwwobzbkfRfZlASUa9aZY,,,1,5.0,5.0
148,VQTajBEXqQHMek3A3O94Qc7yJARZY,2024-07-09 15:28:33.135,OvOIWkNrAv7faW1ctgNKGzIcdYUZY,,,1,5.0,5.0
